subj_id,Status,Started.at,Completed.at,Reviewed.at,Archived.at,Time.taken,Completion.code,Total.approvals,Age,Sex,Ethnicity.simplified,Country.of.birth,Ethnicity,Nationality,Language,Student.status,Employment.status
233528,APPROVED,2022-11-16T16:17:08.252000Z,2022-11-16T16:35:18.916000Z,2022-11-17T08:27:08.383000,2022-11-16T16:35:19.239529Z,1091,3092805E,58,36,Male,White,Australia,United Kingdom,United Kingdom,English,No,Full-Time
233461,APPROVED,2022-11-16T16:14:40.298000Z,2022-11-16T16:26:00.187000Z,2022-11-17T08:27:08.463000,2022-11-16T16:26:00.614082Z,680,3092805E,516,25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233544,APPROVED,2022-11-16T16:14:49.020000Z,2022-11-16T16:32:00.290000Z,2022-11-17T08:27:08.541000,2022-11-16T16:32:00.665655Z,1032,3092805E,26,18,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
233495,APPROVED,2022-11-16T16:14:40.157000Z,2022-11-16T16:28:14.590000Z,2022-11-17T08:27:08.621000,2022-11-16T16:28:15.005794Z,815,3092805E,1510,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
233462,APPROVED,2022-11-16T16:14:40.903000Z,2022-11-16T17:01:18.369000Z,2022-11-17T08:27:08.699000,2022-11-16T17:01:22.055660Z,2798,3092805E,211,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233549,APPROVED,2022-11-16T16:17:13.255000Z,2022-11-16T16:37:05.746000Z,2022-11-17T08:27:08.999000,2022-11-16T16:37:06.158444Z,1193,3092805E,31,28,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
233463,APPROVED,2022-11-16T16:14:44.282000Z,2022-11-16T16:31:54.179000Z,2022-11-17T08:27:09.081000,2022-11-16T16:31:54.577005Z,1030,3092805E,773,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
233476,APPROVED,2022-11-16T16:14:54.730000Z,2022-11-16T16:30:49.267000Z,2022-11-17T08:27:09.157000,2022-11-16T16:30:49.794353Z,955,3092805E,1422,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
233519,APPROVED,2022-11-16T16:15:16.964000Z,2022-11-16T16:30:40.774000Z,2022-11-17T08:27:09.234000,2022-11-16T16:30:41.199016Z,924,3092805E,847,DATA_EXPIRED,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
233466,APPROVED,2022-11-16T16:14:47.760000Z,2022-11-16T16:32:44.469000Z,2022-11-17T08:27:09.315000,2022-11-16T16:32:44.879811Z,1077,3092805E,187,25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233538,APPROVED,2022-11-16T16:15:00.819000Z,2022-11-16T16:48:13.130000Z,2022-11-17T08:27:09.397000,2022-11-16T16:48:13.451789Z,1993,3092805E,844,32,Male,Black,United States,United Kingdom,United States,English,No,Full-Time
233525,APPROVED,2022-11-16T16:16:55.918000Z,2022-11-16T16:32:54.063000Z,2022-11-17T08:27:09.478000,2022-11-16T16:32:54.400600Z,959,3092805E,1095,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
233474,APPROVED,2022-11-16T16:14:53.912000Z,2022-11-16T16:29:12.871000Z,2022-11-17T08:27:09.557000,2022-11-16T16:29:13.249034Z,859,3092805E,110,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233534,APPROVED,2022-11-16T16:15:15.547000Z,2022-11-16T16:33:03.922000Z,2022-11-17T08:27:09.640000,2022-11-16T16:33:04.455653Z,1069,3092805E,46,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
233464,APPROVED,2022-11-16T16:14:46.979000Z,2022-11-16T16:29:28.527000Z,2022-11-17T08:27:09.719000,2022-11-16T16:29:29.002993Z,882,3092805E,493,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
234444,APPROVED,2022-11-16T16:14:49.040000Z,2022-11-16T16:46:42.511000Z,2022-11-17T08:27:09.806000,2022-11-16T16:46:42.931432Z,1914,3092805E,695,35,Male,Black,Saint Vincent and the Grenadines,United Kingdom,Saint Vincent and the Grenadines,English,No,Full-Time
233567,APPROVED,2022-11-16T16:14:49.463000Z,2022-11-16T16:51:00.010000Z,2022-11-17T08:27:09.886000,2022-11-16T16:51:00.853317Z,2171,3092805E,18,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233529,APPROVED,2022-11-16T16:15:02.134000Z,2022-11-16T16:34:10.184000Z,2022-11-17T08:27:09.972000,2022-11-16T16:34:10.524740Z,1149,3092805E,145,33,Male,Asian,China,United Kingdom,United Kingdom,English,No,Full-Time
233504,APPROVED,2022-11-16T16:15:41.063000Z,2022-11-16T16:28:31.110000Z,2022-11-17T08:27:10.054000,2022-11-16T16:28:31.525172Z,771,3092805E,389,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233553,APPROVED,2022-11-16T16:14:47.265000Z,2022-11-16T16:32:18.169000Z,2022-11-17T08:27:10.138000,2022-11-16T16:32:18.621571Z,1051,3092805E,285,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233471,APPROVED,2022-11-16T16:14:52.318000Z,2022-11-16T16:28:57.892000Z,2022-11-17T08:27:10.216000,2022-11-16T16:28:58.287283Z,846,3092805E,114,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233555,APPROVED,2022-11-16T16:18:14.383000Z,2022-11-16T16:32:39.658000Z,2022-11-17T08:27:10.300000,2022-11-16T16:32:40.066384Z,866,3092805E,942,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
233523,APPROVED,2022-11-16T16:14:49.625000Z,2022-11-16T16:32:29.123000Z,2022-11-17T08:27:10.383000,2022-11-16T16:32:29.534331Z,1060,3092805E,93,18,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
233513,APPROVED,2022-11-16T16:15:42.753000Z,2022-11-16T16:34:28.339000Z,2022-11-17T08:27:10.465000,2022-11-16T16:34:28.758480Z,1126,3092805E,88,31,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
233481,APPROVED,2022-11-16T16:14:56.004000Z,2022-11-16T16:27:20.790000Z,2022-11-17T08:27:10.550000,2022-11-16T16:27:21.229683Z,745,3092805E,201,23,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233547,APPROVED,2022-11-16T16:15:15.735000Z,2022-11-16T16:32:48.160000Z,2022-11-17T08:27:10.632000,2022-11-16T16:32:48.580981Z,1053,3092805E,492,21,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
233473,APPROVED,2022-11-16T16:14:51.001000Z,2022-11-16T16:26:58.040000Z,2022-11-17T08:18:43.996000,2022-11-16T16:26:58.458101Z,728,3092805E,167,21,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
233506,APPROVED,2022-11-16T16:15:52.022000Z,2022-11-16T16:31:40.081000Z,2022-11-17T08:27:10.715000,2022-11-16T16:31:40.463301Z,949,3092805E,242,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233484,APPROVED,2022-11-16T16:14:56.496000Z,2022-11-16T16:29:53.688000Z,2022-11-17T08:27:10.800000,2022-11-16T16:29:54.013390Z,898,3092805E,337,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
